URL,Size(byte),# of Outlinks,Content Type
https://www.latimes.com/entertainment-arts/awards/story/2022-05-17/only-murders-in-the-building-deaf-episode,318298,219,text/html
https://www.latimes.com/vegasguide/story/2023-10-19/open-all-night-ease-your-after-hours-hunger-in-las-vegas,271143,199,text/html
https://www.latimes.com/politics/story/2024-02-12/2024-california-primary-election-senate-candidate-garvey-lee-porter-schiff,297729,212,text/html
https://www.latimes.com/california/story/2024-02-01/2024-california-election-lausd-district-7-gutierrez-franklin-primary-voter-guide,409945,242,text/html
https://www.latimes.com/people/gustavo-arellano,283057,210,text/html
https://www.latimes.com/espanol/eeuu/articulo/2024-02-13/mujer-entro-a-iglesia-de-texas-con-su-hijo-y-uso-un-fusil-tipo-ar-en-el-ataque-dice-la-policia,240240,109,text/html
https://www.latimes.com/espanol/vida-y-estilo/articulo/2023-12-22/multitudes-afluyen-a-aeropuertos-y-autopistas-al-iniciar-vacaciones-de-fin-de-ano-en-eeuu,253730,113,text/html
https://www.latimes.com/entertainment/movies/la-et-mn-outfest-fusion-20160303-story.html,306895,213,text/html
https://www.latimes.com/bestcovery/standing-desk-comparison-and-review?_amp=true,115645,44,text/html
https://www.latimes.com/california/story/2024-02-01/2024-california-election-voter-guide-primary-super-tuesday,552522,297,text/html
https://www.latimes.com/topic/film-festivals,383662,232,text/html
https://www.latimes.com/bestcovery/office,122340,61,text/html
https://www.latimes.com/espanol/opinion/articulo/2024-02-13/oppenheimer-el-riesgo-de-la-victoria-de-bukele,248337,111,text/html
https://www.latimes.com/espanol/deportes/articulo/2024-02-15/apuestas-al-super-bowl-fueron-vigorosas-en-grandes-mercados-de-ee-uu,262174,120,text/html
https://www.latimes.com/archives/la-xpm-1994-11-10-mn-61151-story.html,311032,214,text/html
https://www.latimes.com/california/story/2024-02-13/biden-newsom-replace-democrat-2024-election,351392,236,text/html
https://www.latimes.com/vegasguide/story/2023-10-19/heres-why-the-msg-sphere-at-the-venetian-resort-has-everybody-talking-and-gawking,259903,194,text/html
https://www.latimes.com/opinion/story/2024-01-22/california-covid-oakland-schools-rules,331880,221,text/html
https://www.latimes.com/topic/times-investigations,389981,224,text/html
https://www.latimes.com/entertainment-arts/awards/story/2024-02-15/finding-harmony-at-last-in-maestro,280946,201,text/html
https://www.latimes.com/california/story/2024-02-04/lausd-plans-to-keep-schools-open-pending-storm-updates-tonight-and-at-6-a-m-monday,344113,234,text/html
https://www.latimes.com/business/story/2024-02-14/column-taxpayer-protection-or-taxpayer-deception-a-new-ballot-measure-aims-to-destroy-the-california-state-budget,362157,237,text/html
https://www.latimes.com/topic/israel-hamas,383660,231,text/html
https://www.latimes.com/california/story/2024-02-01/2024-california-election-dodgers-senate-candidate-steve-garvey-kids-family,438286,245,text/html
https://www.latimes.com/opinion/letters-to-the-editor/story/2022-02-12/low-score-on-the-sat-decades-later-i-am-still-ashamed,302566,215,text/html
https://www.latimes.com/world-nation/story/2024-02-13/israel-and-hamas-are-making-progress-in-cease-fire-and-hostage-release-talks-officials-say,312065,213,text/html
https://www.latimes.com/sports/soccer/galaxy,391212,230,text/html
https://www.latimes.com/california/story/2024-02-12/glitches-in-new-fafsa-form-roils-schools-impeding-students-from-filing-for-financial-aid,355991,230,text/html
https://www.latimes.com/california/story/2024-02-14/risk-for-chronic-fatigue-soars-among-covid-19-patients-study-says,327666,224,text/html
https://www.latimes.com/b2bpublishing/business-announcements/story/2023-09-29/german-billionaire-michael-gastauer-sets-sights-o-acquiring-california-bank,264263,194,text/html
https://www.latimes.com/california/story/2024-02-09/no-super-bowl-wager-between-newsom-and-missouri-governor-instead-a-desantis-jab,322682,225,text/html
https://www.latimes.com/entertainment-arts/awards/newsletter/2023-12-29/envelope-newsletter-oscars-maestro-wes-anderson-the-envelope-glenns-edition,318106,225,text/html
https://www.latimes.com/local/la-xpm-2012-oct-28-la-me-poll-immigration-20121028-story.html,310383,216,text/html
https://www.latimes.com/world-nation/story/2024-02-15/fbi-informant-charged-with-lying-about-joe-and-hunter-bidens-ties-to-ukrainian-energy-firm,312379,215,text/html
https://www.latimes.com/espanol/california/articulo/2024-02-10/como-enfrentar-el-bombo-y-superar-la-soledad-en-el-dia-de-san-valentin,248401,111,text/html
https://www.latimes.com/espanol/eeuu/articulo/2024-02-14/ap-fotos-nueva-orleans-rio-colonia-los-carnavales-llenan-las-calles-de-alegria-en-el-mundo,249906,113,text/html
https://www.latimes.com/entertainment-arts/awards/story/2024-02-15/barbie-killers-of-the-flower-moon-cinematographer-rodrigo-prieto-diane-warren-justine-triet-envelope,428734,238,text/html
https://www.latimes.com/delos/newsletter/2024-02-15/latinx-files-art-laboe-old-school-becky-lu-latinx-files,312744,217,text/html
https://www.latimes.com/entertainment-arts/business,389952,231,text/html
https://www.latimes.com/topic/sundance-film-festival,476843,257,text/html
https://www.latimes.com/espanol/eeuu/articulo/2024-02-07/pasteles-inflamables-sudaderas-y-mas-mercancia-de-travis-kelce-y-taylor-swift-vuela-de-las-tiendas,254421,113,text/html
https://www.latimes.com/espanol/entretenimiento/articulo/2024-02-15/j-lo-se-burla-de-su-pasado-romantico-en-this-is-me-now-a-love-story,237465,98,text/html
https://www.latimes.com/california/story/2024-02-15/california-is-tightening-rules-on-worker-exposure-to-poisonous-lead,346512,244,text/html
https://www.latimes.com/archives/la-xpm-2003-sep-06-me-cedillo6-story.html,306799,215,text/html
https://www.latimes.com/topic/museums,385613,235,text/html
https://www.latimes.com/opinion/story/2024-02-15/police-los-angeles-lapd-karen-bass-michel-moore-dominic-choi,323454,219,text/html
https://www.latimes.com/vegasguide/story/2023-10-19/an-american-success-story-carrie-underwoods-fabulous-las-vegas-residency-continues,265922,195,text/html
https://www.latimes.com/science/story/2024-02-13/behind-the-times-washington-tries-to-catch-up-with-ais-use-in-healthcare,324277,234,text/html
https://www.latimes.com/california/story/2024-02-14/newsoms-top-education-adviser-bares-his-mental-health-struggle-youre-not-alone,363367,225,text/html
https://www.latimes.com/lifestyle/image/story/2024-01-16/street-style-after-hours-with-nichelle-dailey,379494,219,text/html
https://www.latimes.com/lifestyle/story/2024-01-19/la-affairs-courtney-cleaver-missed-connection-with-mr-handsome-at-a-bar,339757,225,text/html
https://www.latimes.com/people/houston-mitchell,281059,208,text/html
https://www.latimes.com/california/story/2024-02-10/westchester-high-girls-basketball-player-sues-coaches-lausd-for-sexual-battery-harassment,313280,216,text/html
https://www.latimes.com/b2bpublishing/business-announcements/story/2023-10-10/bitcoin-in-2023-challenges-and-prospects,260917,196,text/html
https://www.latimes.com/sports/hockey/ducks,389930,230,text/html
https://www.latimes.com/california/story/2024-02-08/california-high-speed-rail-construction-progress,376275,227,text/html
https://www.latimes.com/opinion/story/2022-01-21/holocaust-survivors-what-worries-them-about-today,345719,211,text/html
https://www.latimes.com/topic/theater,386390,235,text/html
https://www.latimes.com/local/lanow/la-me-ln-la-justice-fund-20170417-story.html,321625,222,text/html
https://www.latimes.com/environment/story/2023-12-21/november-shatters-global-temperature-records,346061,223,text/html
https://www.latimes.com/espanol/sitemap,156431,122,text/html
https://www.latimes.com/bestcovery/contact-us,51006,25,text/html
https://www.latimes.com/espanol/deportes/articulo/2024-02-15/america-supera-al-real-esteli-y-se-citara-con-chivas-en-la-copa-de-campeones-de-concacaf,246522,111,text/html
https://www.latimes.com/about/marketing/los-angeles-times-for-students-and-educators,242773,191,text/html
https://www.latimes.com/business/la-xpm-2011-oct-31-la-fi-ct-vimby-20111019-story.html,312170,211,text/html
https://www.latimes.com/topic/jobs-labor,385552,231,text/html
https://www.latimes.com/topic/wellness,401192,237,text/html
https://www.latimes.com/espanol/etiqueta/mujeres,319353,125,text/html
https://www.latimes.com/espanol/mexico/articulo/2024-02-13/slim-cree-que-mexico-podria-mejorar-comercio-con-eeuu-ante-china-en-eventual-presidencia-de-trump,238410,110,text/html
https://www.latimes.com/topic/behold,383240,223,text/html
https://www.latimes.com/opinion/hb7srpxi3sw-123,234871,187,text/html
https://www.latimes.com/california/newsletter/2024-02-08/california-politics-immigration-impeachment-alex-padilla-tom-mcclintock-buck-party-ca-politics,322716,230,text/html
https://www.latimes.com/seniorresources/story/2023-10-06/selecting-the-right-medical-group-matters-this-h,259502,193,text/html
https://www.latimes.com/science/story/2024-02-06/budget-cuts-to-mars-sample-return-mission-prompt-hundreds-of-layoffs-at-jpl,326449,230,text/html
https://www.latimes.com/california/story/2023-12-24/medi-cal-will-soon-be-open-to-all-papers-or-no-papers-she-wants-her-neighbors-to-know,369444,253,text/html
https://www.latimes.com/travel/list/monterey-park-neighborhood-guide-things-to-do,491756,244,text/html
https://www.latimes.com/opinion/story/2024-02-15/biden-trump-robert-hur-ageism-elderly,324395,227,text/html
https://www.latimes.com/california/story/2022-10-20/uc-pushed-to-break-legal-ground-by-hiring-immigrant-students-without-work-permits,344643,227,text/html
https://www.latimes.com/california/story/2023-12-23/why-the-new-coronavirus-strain-jn-1-may-be-behind-californias-covid-uptick,397501,257,text/html
https://www.latimes.com/specialsupplements/story/2023-09-05/protecting-californians-stop-ab-893-from-burdening-families-and-straining-wallets,264741,197,text/html
https://www.latimes.com/entertainment-arts/business/story/2024-02-06/abbott-elementary-season-3-studio-teachers,387214,230,text/html
https://www.latimes.com/entertainment-arts/awards/story/2024-02-14/chilean-doc-eternal-memory-reminds-true-love-endures-even-after-recollections-fade,314308,218,text/html
https://www.latimes.com/espanol/politica/articulo/2024-02-13/biden-advierte-que-la-oposicion-al-paquete-de-ayuda-a-ucrania-juega-en-favor-de-putin,241991,109,text/html
